GEO_ID,NAME,S0101_C01_001E,S0101_C01_001M,state,city2,city_x,year,img_num,state_code,city_y
1600000US4858016,"Plano city, Texas",287037,1039,Texas,Plano city,Plano_city,2020.0,11756.0,48,Plano city
1600000US3719000,"Durham city, North Carolina",285439,364,North Carolina,Durham city,Durham_city,2020.0,49.0,37,Durham city
1600000US3436000,"Jersey City city, New Jersey",283943,58,New Jersey,Jersey City city,Jersey_City_city,,,34,Jersey City city
1600000US0412000,"Chandler city, Arizona",279445,66,Arizona,Chandler city,Chandler_city,2020.0,9165.0,4,Chandler city
1600000US0613392,"Chula Vista city, California",277211,64,California,Chula Vista city,Chula_Vista_city,2020.0,8580.0,6,Chula Vista city
1600000US3611000,"Buffalo city, New York",276804,39,New York,Buffalo city,Buffalo_city,2020.0,2334.0,36,Buffalo city
1600000US3251800,"North Las Vegas city, Nevada",274146,49,Nevada,North Las Vegas city,North_Las_Vegas_city,,,32,North Las Vegas city
1600000US0427400,"Gilbert town, Arizona",273138,51,Arizona,Gilbert town,Gilbert_town,,,4,Gilbert town
1600000US5548000,"Madison city, Wisconsin",269162,116,Wisconsin,Madison city,Madison_city,2020.0,4359.0,55,Madison city
1600000US3260600,"Reno city, Nevada",268843,46,Nevada,Reno city,Reno_city,2020.0,28384.0,32,Reno city
1600000US3977000,"Toledo city, Ohio",268504,38,Ohio,Toledo city,Toledo_city,2020.0,136.0,39,Toledo city
1600000US1825000,"Fort Wayne city, Indiana",263814,5007,Indiana,Fort Wayne city,Fort_Wayne_city,,,18,Fort Wayne city
1600000US4845000,"Lubbock city, Texas",260990,28,Texas,Lubbock city,Lubbock_city,2020.0,16638.0,48,Lubbock city
1600000US1263000,"St. Petersburg city, Florida",258214,55,Florida,St. Petersburg city,St._Petersburg_city,,,12,St Petersburg city
1600000US4841464,"Laredo city, Texas",258014,2480,Texas,Laredo city,Laredo_city,2020.0,16052.0,48,Laredo city
1600000US4837000,"Irving city, Texas",254190,53,Texas,Irving city,Irving_city,2020.0,11046.0,48,Irving city
1600000US5116000,"Chesapeake city, Virginia",251269,*****,Virginia,Chesapeake city,Chesapeake_city,,,51,Chesapeake city
1600000US3775000,"Winston-Salem city, North Carolina",250337,64,North Carolina,Winston-Salem city,Winston-Salem_city,2020.0,18746.0,37,Winston-Salem city
1600000US0427820,"Glendale city, Arizona",249627,56,Arizona,Glendale city,Glendale_city,2020.0,11096.0,4,Glendale city
1600000US3223770,"Enterprise CDP, Nevada",245286,13508,Nevada,Enterprise CDP,Enterprise_CDP,,,32,Enterprise CDP
1600000US0465000,"Scottsdale city, Arizona",242754,38,Arizona,Scottsdale city,Scottsdale_city,,,4,Scottsdale city
1600000US4829000,"Garland city, Texas",241870,48,Texas,Garland city,Garland_city,2020.0,450.0,48,Garland city
1600000US1608830,"Boise City city, Idaho",237457,47,Idaho,Boise City city,Boise_City_city,2020.0,308.0,16,Boise City city
1600000US5157000,"Norfolk city, Virginia",235089,*****,Virginia,Norfolk city,Norfolk_city,,,51,Norfolk city
1600000US5103000,"Arlington CDP, Virginia",232965,*****,Virginia,Arlington CDP,Arlington_CDP,,,51,Arlington CDP
1600000US5367000,"Spokane city, Washington",229065,39,Washington,Spokane city,Spokane_city,2020.0,17645.0,53,Spokane city
1600000US0626000,"Fremont city, California",227523,52,California,Fremont city,Fremont_city,2020.0,1152.0,6,Fremont city
1600000US5167000,"Richmond city, Virginia",226604,*****,Virginia,Richmond city,Richmond_city,2020.0,766.0,51,Richmond city
1600000US0669088,"Santa Clarita city, California",224588,51,California,Santa Clarita city,Santa_Clarita_city,2020.0,12468.0,6,Santa Clarita city
1600000US0665000,"San Bernardino city, California",222194,49,California,San Bernardino city,San_Bernardino_city,2020.0,8925.0,6,San Bernardino city
1600000US2205000,"Baton Rouge city, Louisiana",222177,42,Louisiana,Baton Rouge city,Baton_Rouge_city,2020.0,12451.0,22,
1600000US1230000,"Hialeah city, Florida",220479,44,Florida,Hialeah city,Hialeah_city,2020.0,3379.0,12,
1600000US5370000,"Tacoma city, Washington",219203,44,Washington,Tacoma city,Tacoma_city,,,53,
1600000US0648354,"Modesto city, California",218782,57,California,Modesto city,Modesto_city,,,6,
1600000US1258715,"Port St. Lucie city, Florida",217535,43,Florida,Port St. Lucie city,Port_St._Lucie_city,,,12,
1600000US0137000,"Huntsville city, Alabama",215482,1705,Alabama,Huntsville city,Huntsville_city,,,1,
1600000US3268585,"Spring Valley CDP, Nevada",213552,12342,Nevada,Spring Valley CDP,Spring_Valley_CDP,,,32,
