City Name,Year,Building Density,Driving Road Density,Cycling Road Density,Walking Road Density,POI Density,Commercial,Industrial,Construction,Residential,White_Black,White_Asian,White_Hispanic,Black_Asian,Black_Hispanic,Asian_Hispanic,Entropy
Louisville-Jefferson County metro government (balance),2017,280.0476158,5.485223195,5.11724392,5.200567482,1.683971049,0.003145341,0.016478194,9.56e-05,0.000479169,0.4669368471339322,0.5739654921536996,0.5427900114111697,0.6419956541927926,0.5458485603580373,0.6947718358929077,0.7735106720440923
Louisville-Jefferson County metro government (balance),2018,279.9141902,5.524960137,5.169021466,5.270563937,2.078629819,0.0,0.042897812,0.0,0.0005807,0.4654539960753639,0.5407241355224366,0.5301685473268507,0.6187312332789834,0.5021633843221914,0.6577652186833839,0.7966010727640278
Louisville-Jefferson County metro government (balance),2019,279.8889096,5.709812125,5.355942252,5.472285129,2.477502027,0.000775043,0.04260378,0.0,0.001514842,0.4688702130038711,0.5325651706515634,0.5253645651786795,0.6400576874072128,0.499605551706957,0.6579403618938593,0.8099542199999207
Louisville-Jefferson County metro government (balance),2020,280.2779504,6.999304178,6.646330363,6.769275699,2.623567906,0.000775043,0.05610977,0.0,0.001514842,0.5233513933363196,0.576659457803212,0.5357795424937845,0.7065875605584201,0.5250085200807144,0.696541633165065,0.8294332588815944
Louisville-Jefferson County metro government (balance),2021,279.87907819903984,8.253455310104469,7.949184634567652,8.12992992417398,2.8974414295982416,0.000775045675639,0.0530311613518563,9.224958710811312e-05,0.0017061140930537,0.5023908899679053,0.5841706276501211,0.5503986777330634,0.724218020563639,0.5232400010987196,0.7231624519186362,0.8501410444932356
Louisville-Jefferson County metro government (balance),2022,280.26109665219093,8.411646061699203,8.117532582681463,8.334585074612827,2.974687807992766,,,,,,,,,,,
Louisville-Jefferson County metro government (balance),2023,280.38609533722934,8.465853356617659,8.186040288960156,8.429224528462584,3.036484910708385,0.0007756065784859,0.0584589748797859,0.0003870887871592,0.0026629447125275,,,,,,,
Lubbock city,2014,1.30915026,8.035007693,7.365290721,7.389022975,1.343227924,0.0,0.000128549,4.13e-05,0.000590265,0.5797573537881097,0.5019187088227208,0.4437547659255491,0.7026340138547245,0.4732848231912527,0.6521055731784954,0.9651116854156404
Lubbock city,2015,2.649538379,8.303394856,7.695571441,7.735243522,1.422742473,0.0,0.000128549,4.13e-05,0.000890249,0.5894316632995131,0.4912519466699142,0.4348913741082671,0.7128460993389307,0.4974183957080058,0.646238388968843,0.9639089391078418
Lubbock city,2016,2.976115992,8.459490436,7.83826882,7.937715963,1.524975465,0.0,0.000128549,0.0,0.001133539,0.5810635815256382,0.4851460625644904,0.4251008916741522,0.7129552360900733,0.4965618041001442,0.6332825979530797,0.9692221621814936
