City Name,Year,Population Enrolled In College,Population That Graduated From High School,Population With A Bachelor's Degree,Population With A Master's Degree,Population With A Doctorate
Virginia Beach city,2015,31604,56389,66094,26097,2994
Virginia Beach city,2016,31004,56640,67672,26544,3069
Virginia Beach city,2017,30669,55324,68828,27602,3114
Virginia Beach city,2018,28741,54286,68906,28960,3261
Virginia Beach city,2019,27938,53317,69469,31382,3425
Virginia Beach city,2020,26975,52351,72697,31837,4120
Virginia Beach city,2021,19225,42663,58409,24160,3246
Washington city,2014,48813,70158,103179,79033,17109
Washington city,2015,49934,69678,105880,85795,18221
Washington city,2016,48492,71315,108252,90366,19162
Washington city,2017,48699,71712,113830,96398,20333
Washington city,2018,48110,70723,118817,100571,20741
Washington city,2019,47539,70065,122380,104526,20906
Washington city,2020,46610,70138,126808,106879,20589
Washington city,2021,21088,45112,72396,60517,11418
Wichita city,2014,25310,54810,47980,17395,2192
Wichita city,2015,25088,56360,46905,17956,2289
Wichita city,2016,24034,56271,47738,18502,2374
Wichita city,2017,23146,55582,48425,19307,2529
Wichita city,2018,21839,54867,48392,20324,2705
Wichita city,2019,21176,54899,48327,20382,2766
Wichita city,2020,20561,54978,50169,21036,2889
Wichita city,2021,14295,42795,36841,14994,1937
Winston-Salem city,2014,18291,33844,32622,13121,2926
Winston-Salem city,2015,18496,33309,33077,13862,2999
Winston-Salem city,2016,18851,33487,34041,14577,2976
Winston-Salem city,2017,18426,33803,34203,14928,2848
Winston-Salem city,2018,18311,36126,34716,14812,2907
Winston-Salem city,2019,17906,37171,35346,15178,3109
Winston-Salem city,2020,17735,38056,35384,15676,3712
Winston-Salem city,2021,15833,33439,30423,14205,3396
