City Name,Year,Civilian Noninstitutionalized Population,Population With No Health Insurance Under 18,Population With No Health Insurance Between 18 To 34,Population With No Health Insurance Between 35 To 64,Population With No Health Insurance Over 65 Years Old
Phoenix city,2015,1527882.0,53741.0,119908.0,131174.0,3610.0
Phoenix city,2016,1570899.0,47114.0,112098.0,123005.0,3216.0
Phoenix city,2017,1592444.0,47557.0,95295.0,112759.0,3164.0
Phoenix city,2018,1629140.0,44938.0,85740.0,103024.0,3331.0
Phoenix city,2019,1654352.0,43402.0,82940.0,101819.0,3224.0
Phoenix city,2020,1677349.0,44019.0,84368.0,107768.0,3830.0
Phoenix city,2021,1268246.0,34069.0,63270.0,85770.0,2897.0
Pittsburgh city,2014,298251.0,1747.0,14497.0,12269.0,72.0
Pittsburgh city,2015,298567.0,1740.0,13462.0,11350.0,78.0
Pittsburgh city,2016,298048.0,1689.0,12001.0,9480.0,66.0
Pittsburgh city,2017,297683.0,1882.0,10391.0,8023.0,102.0
Pittsburgh city,2018,296534.0,1719.0,8674.0,7025.0,98.0
Pittsburgh city,2019,295536.0,1707.0,7450.0,6357.0,142.0
Pittsburgh city,2020,295079.0,1954.0,7817.0,5904.0,108.0
Pittsburgh city,2021,232699.0,1355.0,5727.0,5013.0,101.0
Plano city,2014,285866.0,6288.0,15201.0,18441.0,1003.0
Plano city,2015,290746.0,5763.0,13821.0,16726.0,956.0
Plano city,2016,294360.0,5673.0,13371.0,15999.0,1110.0
Plano city,2017,297033.0,5977.0,11600.0,14726.0,1225.0
Plano city,2018,301035.0,5747.0,11683.0,14620.0,1108.0
Plano city,2019,304795.0,5830.0,11398.0,15534.0,777.0
Plano city,2020,288428.0,6019.0,10054.0,16112.0,726.0
Plano city,2021,171729.0,3948.0,5889.0,9990.0,500.0
Portland city,2014,621493.0,5236.0,43628.0,39663.0,436.0
Portland city,2015,632839.0,4170.0,37023.0,35630.0,389.0
Portland city,2016,641441.0,3791.0,30316.0,30359.0,470.0
Portland city,2017,651547.0,4141.0,25675.0,26297.0,499.0
Portland city,2018,661323.0,3860.0,20800.0,20508.0,506.0
Portland city,2019,666691.0,3465.0,18755.0,19591.0,789.0
Portland city,2020,672415.0,3073.0,17851.0,19461.0,785.0
Portland city,2021,465927.0,1839.0,11443.0,13004.0,553.0
Raleigh city,2014,445035.0,8294.0,29847.0,27503.0,503.0
Raleigh city,2015,455034.0,7293.0,27895.0,26500.0,383.0
Raleigh city,2016,464844.0,6293.0,25876.0,25759.0,424.0
Raleigh city,2017,473499.0,6691.0,23686.0,25922.0,342.0
Raleigh city,2018,483040.0,6561.0,21921.0,24415.0,266.0
Raleigh city,2019,493241.0,6410.0,20225.0,24094.0,429.0
Raleigh city,2020,499474.0,6364.0,18402.0,25455.0,474.0
Raleigh city,2021,261104.0,3481.0,9627.0,14225.0,290.0
Reno city,2014,256188.0,9532.0,20483.0,22049.0,544.0
Reno city,2015,258064.0,7387.0,17766.0,19845.0,502.0
Reno city,2016,262951.0,5958.0,15091.0,17450.0,578.0
Reno city,2017,266450.0,5081.0,11917.0,14356.0,583.0
Reno city,2018,271260.0,4596.0,10570.0,12548.0,302.0
Reno city,2019,275922.0,5030.0,9995.0,11383.0,226.0
Reno city,2020,275114.0,5095.0,10588.0,11637.0,222.0
Reno city,2021,159947.0,3507.0,5602.0,6067.0,139.0
Richmond city,2014,208551.0,2282.0,18949.0,15081.0,96.0
Richmond city,2015,211150.0,2278.0,18020.0,15322.0,99.0
Richmond city,2016,214063.0,2311.0,16224.0,14904.0,152.0
Richmond city,2017,218218.0,2809.0,14688.0,14755.0,164.0
Richmond city,2018,221071.0,2927.0,13372.0,13127.0,228.0
Richmond city,2019,223952.0,2871.0,12088.0,11665.0,248.0
Richmond city,2020,226632.0,2823.0,11585.0,11358.0,300.0
Richmond city,2021,141367.0,1714.0,5917.0,7088.0,248.0
Riverside city,2014,340314.0,8839.0,27949.0,29540.0,556.0
Riverside city,2015,344157.0,7199.0,25249.0,25959.0,650.0
Riverside city,2016,347158.0,6439.0,21685.0,22588.0,802.0
Riverside city,2017,349626.0,5687.0,17632.0,19314.0,639.0
Riverside city,2018,353184.0,4851.0,15494.0,16949.0,752.0
Riverside city,2019,356969.0,3647.0,13927.0,15196.0,709.0
Riverside city,2020,347590.0,3887.0,12832.0,14456.0,520.0
Riverside city,2021,239753.0,2786.0,9116.0,12042.0,354.0
Sacramento city,2014,491610.0,6816.0,35258.0,32083.0,712.0
Sacramento city,2015,496763.0,5988.0,30924.0,29260.0,776.0
Sacramento city,2016,500924.0,5638.0,25286.0,25899.0,924.0
Sacramento city,2017,506444.0,4470.0,20055.0,21831.0,889.0
Sacramento city,2018,512370.0,3546.0,15248.0,16590.0,694.0
Sacramento city,2019,518824.0,2776.0,13290.0,14533.0,601.0
Sacramento city,2020,519330.0,2965.0,13135.0,14587.0,437.0
Sacramento city,2021,314359.0,1965.0,8131.0,9044.0,241.0
San Antonio city,2014,1479073.0,39822.0,129621.0,123818.0,2609.0
San Antonio city,2015,1513466.0,36387.0,128077.0,117821.0,2490.0
San Antonio city,2016,1540326.0,33537.0,123279.0,112734.0,2779.0
San Antonio city,2017,1565527.0,36634.0,113204.0,109848.0,2856.0
San Antonio city,2018,1593182.0,35526.0,109335.0,106837.0,3406.0
San Antonio city,2019,1621604.0,36514.0,109758.0,112651.0,3442.0
San Antonio city,2020,1626871.0,39055.0,112598.0,117182.0,3336.0
San Antonio city,2021,1321375.0,31277.0,90318.0,98139.0,2505.0
San Bernardino city,2014,259585.0,7345.0,24979.0,26633.0,885.0
San Bernardino city,2015,260436.0,6487.0,22778.0,23535.0,592.0
San Bernardino city,2016,260686.0,5416.0,20127.0,21276.0,541.0
San Bernardino city,2017,261201.0,5287.0,16018.0,18718.0,565.0
San Bernardino city,2018,262042.0,4047.0,13504.0,15737.0,410.0
San Bernardino city,2019,261978.0,3445.0,11363.0,14754.0,283.0
San Bernardino city,2020,256290.0,2864.0,10694.0,14028.0,354.0
San Bernardino city,2021,168995.0,1559.0,6613.0,8710.0,159.0
San Diego city,2014,1370239.0,23540.0,98006.0,88958.0,3053.0
San Diego city,2015,1390663.0,21592.0,88788.0,80694.0,2971.0
San Diego city,2016,1405473.0,18543.0,76419.0,71737.0,2855.0
San Diego city,2017,1422671.0,17245.0,63319.0,62194.0,2614.0
San Diego city,2018,1432403.0,14220.0,53621.0,53919.0,2172.0
San Diego city,2019,1438084.0,11708.0,48695.0,48749.0,1957.0
San Diego city,2020,1412880.0,11014.0,43938.0,47549.0,1898.0
San Diego city,2021,1011392.0,8541.0,30090.0,36089.0,1375.0
San Francisco city,2014,824515.0,3812.0,39048.0,38415.0,1223.0
San Francisco city,2015,836167.0,3106.0,34203.0,32542.0,1225.0
San Francisco city,2016,845883.0,2370.0,28039.0,27115.0,1195.0
San Francisco city,2017,859959.0,2475.0,22649.0,21514.0,905.0
San Francisco city,2018,865827.0,2084.0,17567.0,17215.0,894.0
San Francisco city,2019,870863.0,1933.0,14477.0,14627.0,866.0
San Francisco city,2020,870512.0,2086.0,12885.0,15013.0,1065.0
San Francisco city,2021,535318.0,1755.0,7564.0,9219.0,599.0
San Jose city,2014,1030316.0,10195.0,56142.0,60467.0,1440.0
San Jose city,2015,1047107.0,8637.0,48655.0,54293.0,1490.0
San Jose city,2016,1057097.0,7618.0,41493.0,45613.0,1622.0
San Jose city,2017,1071862.0,7016.0,32479.0,37839.0,1510.0
San Jose city,2018,1075364.0,5824.0,24158.0,29677.0,1391.0
San Jose city,2019,1076136.0,5189.0,21549.0,26773.0,1301.0
San Jose city,2020,1082872.0,5022.0,20108.0,27712.0,1410.0
San Jose city,2021,851236.0,3690.0,13597.0,22020.0,1076.0
Santa Ana city,2014,352706.0,12186.0,43998.0,46191.0,1355.0
Santa Ana city,2015,354808.0,9395.0,39707.0,42902.0,1529.0
Santa Ana city,2016,354961.0,7441.0,35306.0,38299.0,1338.0
Santa Ana city,2017,356981.0,7015.0,28906.0,34658.0,1281.0
Santa Ana city,2018,357423.0,5115.0,24080.0,30136.0,1167.0
Santa Ana city,2019,357570.0,4518.0,20470.0,27421.0,1002.0
Santa Ana city,2020,344499.0,4382.0,18043.0,25912.0,867.0
Santa Ana city,2021,314622.0,4846.0,15573.0,24076.0,719.0
Santa Clarita city,2014,215643.0,3303.0,10279.0,11927.0,426.0
Santa Clarita city,2015,218811.0,3028.0,9530.0,10686.0,445.0
Santa Clarita city,2016,220924.0,2910.0,8261.0,9904.0,413.0
Santa Clarita city,2017,217549.0,2580.0,6727.0,8507.0,291.0
Santa Clarita city,2018,218841.0,2110.0,5171.0,6672.0,202.0
Santa Clarita city,2019,215390.0,1934.0,4373.0,5672.0,85.0
Santa Clarita city,2020,210829.0,1396.0,3869.0,5233.0,167.0
Santa Clarita city,2021,150863.0,900.0,2458.0,3110.0,163.0
Scottsdale city,2014,225862.0,1914.0,7894.0,9438.0,417.0
Scottsdale city,2015,230330.0,2089.0,7056.0,8720.0,344.0
Scottsdale city,2016,237940.0,2296.0,5819.0,8053.0,302.0
Scottsdale city,2017,242545.0,2047.0,5003.0,7622.0,148.0
Scottsdale city,2018,249330.0,2462.0,4834.0,8066.0,153.0
Scottsdale city,2019,253629.0,2645.0,4334.0,7429.0,106.0
Scottsdale city,2020,257476.0,2261.0,4207.0,7323.0,179.0
Scottsdale city,2021,206727.0,1068.0,4037.0,5541.0,102.0
Seattle city,2014,636182.0,3847.0,33729.0,27789.0,615.0
Seattle city,2015,651623.0,3287.0,28698.0,24522.0,606.0
Seattle city,2016,667901.0,2452.0,24095.0,21109.0,566.0
Seattle city,2017,688048.0,2389.0,19588.0,18554.0,626.0
Seattle city,2018,708233.0,1905.0,15731.0,14629.0,623.0
Seattle city,2019,723689.0,1659.0,14398.0,13501.0,563.0
Seattle city,2020,736494.0,1710.0,15305.0,14665.0,598.0
Seattle city,2021,397126.0,981.0,8245.0,7661.0,262.0
Spokane city,2014,225753.0,2159.0,15356.0,12469.0,51.0
Spokane city,2015,226371.0,1853.0,12645.0,11160.0,62.0
Spokane city,2016,227161.0,1689.0,10735.0,9018.0,76.0
Spokane city,2017,227426.0,1349.0,8767.0,7470.0,69.0
Spokane city,2018,230399.0,1164.0,6474.0,6117.0,79.0
Spokane city,2019,232555.0,1316.0,5709.0,5644.0,166.0
Spokane city,2020,229830.0,1206.0,5835.0,5562.0,154.0
Spokane city,2021,157999.0,957.0,3642.0,4491.0,137.0
St Louis city,2014,313908.0,4418.0,24763.0,26606.0,177.0
St Louis city,2015,313086.0,4458.0,22538.0,24711.0,213.0
St Louis city,2016,311212.0,3841.0,20350.0,21305.0,180.0
St Louis city,2017,310171.0,4143.0,17640.0,18702.0,316.0
St Louis city,2018,306638.0,3256.0,15980.0,16323.0,351.0
St Louis city,2019,303603.0,3175.0,14197.0,15000.0,452.0
St Louis city,2020,300121.0,2888.0,13280.0,14132.0,342.0
St Louis city,2021,262591.0,1917.0,11025.0,13026.0,298.0
St Paul city,2014,289494.0,4801.0,17024.0,11571.0,148.0
St Paul city,2015,292909.0,4447.0,15672.0,10633.0,231.0
St Paul city,2016,294998.0,4246.0,13845.0,9369.0,220.0
St Paul city,2017,298675.0,3770.0,11917.0,8874.0,243.0
St Paul city,2018,300607.0,3147.0,9311.0,7744.0,235.0
St Paul city,2019,302380.0,3577.0,8396.0,7585.0,148.0
St Paul city,2020,303647.0,3133.0,7872.0,7756.0,63.0
St Paul city,2021,247054.0,2156.0,6530.0,6413.0,124.0
St Petersburg city,2014,252895.0,3527.0,17394.0,22481.0,341.0
St Petersburg city,2015,255535.0,3440.0,15886.0,21396.0,362.0
St Petersburg city,2016,258671.0,3439.0,14450.0,19877.0,323.0
St Petersburg city,2017,261369.0,3281.0,13367.0,17255.0,279.0
St Petersburg city,2018,264738.0,3076.0,12569.0,15943.0,270.0
St Petersburg city,2019,267988.0,2856.0,12051.0,14804.0,169.0
St Petersburg city,2020,269957.0,2269.0,11605.0,13989.0,145.0
St Petersburg city,2021,203978.0,1922.0,8545.0,10450.0,67.0
Stockton city,2014,319938.0,6545.0,25877.0,23446.0,772.0
Stockton city,2015,321909.0,6034.0,22316.0,20705.0,750.0
Stockton city,2016,324147.0,5031.0,18110.0,17207.0,746.0
Stockton city,2017,327732.0,4572.0,14918.0,15202.0,847.0
Stockton city,2018,329609.0,3006.0,11290.0,11974.0,511.0
Stockton city,2019,333031.0,2453.0,9445.0,10627.0,470.0
Stockton city,2020,331448.0,2865.0,9027.0,11291.0,357.0
Stockton city,2021,217608.0,1305.0,6374.0,8056.0,234.0
Tampa city,2014,368205.0,6488.0,28237.0,29582.0,605.0
Tampa city,2015,375025.0,5442.0,25589.0,27848.0,632.0
Tampa city,2016,381881.0,4492.0,24297.0,26671.0,537.0
Tampa city,2017,388080.0,5075.0,21343.0,24784.0,697.0
Tampa city,2018,394898.0,4964.0,20516.0,23749.0,519.0
Tampa city,2019,408495.0,5137.0,20247.0,23136.0,541.0
Tampa city,2020,415225.0,5437.0,19787.0,22685.0,652.0
Tampa city,2021,293505.0,3270.0,13116.0,15692.0,436.0
Toledo city,2014,287382.0,3298.0,17197.0,19768.0,201.0
Toledo city,2015,286207.0,3019.0,15091.0,17290.0,143.0
Toledo city,2016,284330.0,2645.0,12548.0,13930.0,131.0
Toledo city,2017,283022.0,2296.0,11004.0,11474.0,164.0
Toledo city,2018,281370.0,2304.0,9534.0,9001.0,189.0
Toledo city,2019,279912.0,2287.0,9210.0,8269.0,118.0
Toledo city,2020,277411.0,2345.0,8753.0,7894.0,91.0
Toledo city,2021,136531.0,1269.0,3909.0,4551.0,72.0
Tucson city,2014,557898.0,15365.0,41397.0,39212.0,929.0
Tucson city,2015,560443.0,14184.0,39019.0,36467.0,857.0
Tucson city,2016,560621.0,13216.0,36161.0,32855.0,752.0
Tucson city,2017,559201.0,12581.0,30969.0,29650.0,665.0
Tucson city,2018,563382.0,12092.0,28054.0,26973.0,621.0
Tucson city,2019,565384.0,11081.0,26905.0,26261.0,450.0
Tucson city,2020,564945.0,10819.0,26420.0,26622.0,439.0
Tucson city,2021,402928.0,7569.0,19103.0,20970.0,486.0
Tulsa city,2014,411705.0,10015.0,37378.0,35998.0,492.0
Tulsa city,2015,414666.0,9488.0,34864.0,34838.0,537.0
Tulsa city,2016,416844.0,8233.0,32621.0,33720.0,542.0
Tulsa city,2017,419232.0,8709.0,30107.0,31959.0,522.0
Tulsa city,2018,420979.0,8708.0,28652.0,30640.0,563.0
Tulsa city,2019,421898.0,9001.0,28413.0,30590.0,644.0
Tulsa city,2020,413651.0,9028.0,28367.0,30176.0,616.0
Tulsa city,2021,312141.0,7279.0,21620.0,23425.0,410.0
Virginia Beach city,2014,421128.0,4619.0,20538.0,18435.0,519.0
Virginia Beach city,2015,422939.0,4341.0,19699.0,17704.0,339.0
Virginia Beach city,2016,424254.0,3994.0,18505.0,16843.0,344.0
Virginia Beach city,2017,425182.0,4104.0,17617.0,15757.0,371.0
Virginia Beach city,2018,424700.0,4414.0,16250.0,13843.0,384.0
Virginia Beach city,2019,424868.0,3967.0,14956.0,12949.0,442.0
Virginia Beach city,2020,426321.0,3977.0,14157.0,12942.0,436.0
Virginia Beach city,2021,335678.0,3728.0,9103.0,10467.0,323.0
Washington city,2014,623129.0,2629.0,18532.0,18249.0,599.0
Washington city,2015,636610.0,2591.0,16807.0,17087.0,526.0
Washington city,2016,648263.0,2414.0,15256.0,15243.0,506.0
Washington city,2017,661858.0,2992.0,13491.0,14128.0,547.0
Washington city,2018,674258.0,2749.0,11839.0,11948.0,552.0
Washington city,2019,682728.0,2642.0,11197.0,10790.0,550.0
Washington city,2020,692059.0,2669.0,11373.0,10778.0,468.0
Washington city,2021,421649.0,2203.0,5968.0,6452.0,298.0
Wichita city,2014,386381.0,6550.0,26056.0,25718.0,281.0
Wichita city,2015,387343.0,7094.0,24814.0,25484.0,391.0
Wichita city,2016,387820.0,7100.0,22821.0,25241.0,349.0
Wichita city,2017,388625.0,6941.0,19789.0,24064.0,256.0
Wichita city,2018,389280.0,6942.0,19592.0,22018.0,270.0
Wichita city,2019,388570.0,6851.0,18504.0,21453.0,444.0
Wichita city,2020,389271.0,5741.0,17722.0,21774.0,445.0
Wichita city,2021,299296.0,4618.0,13902.0,18776.0,307.0
Winston-Salem city,2014,249935.0,4236.0,19481.0,18793.0,133.0
Winston-Salem city,2015,252154.0,3576.0,17959.0,18470.0,206.0
Winston-Salem city,2016,253763.0,2749.0,15864.0,17716.0,155.0
Winston-Salem city,2017,255089.0,2869.0,13855.0,16764.0,143.0
Winston-Salem city,2018,257687.0,3116.0,13071.0,15501.0,184.0
Winston-Salem city,2019,259031.0,3113.0,11999.0,15786.0,238.0
Winston-Salem city,2020,264300.0,3038.0,11923.0,15843.0,218.0
Winston-Salem city,2021,234565.0,2690.0,9881.0,15230.0,115.0
